gpu,1080p Ultra,1080p Medium,1440p Ultra,4K Ultra,Specifications (Links to Review)
GeForce RTX 3080 Ti,80.4% (123.9fps),87.8% (171.8fps),71.1% (103.9fps),60.1% (68.8fps),https://www.tomshardware.com/news/nvidia-geforce-rtx-3080-ti-review
Radeon RX 6800 XT,79.6% (122.7fps),88.5% (173.2fps),67.8% (99.0fps),50.6% (57.9fps),https://www.tomshardware.com/news/the-amd-radeon-rx-6800-xt-and-rx-6800-review
GeForce RTX 3080 12GB,79.2% (122.1fps),86.5% (169.4fps),70.0% (102.3fps),58.3% (66.7fps),https://www.tomshardware.com/reviews/msi-geforce-rtx-3080-12gb-suprim-x
GeForce RTX 4070,79.2% (122.0fps),90.7% (177.5fps),66.9% (97.8fps),50.0% (57.2fps),https://www.tomshardware.com/reviews/nvidia-geforce-rtx-4070-review
GeForce RTX 3080,76.0% (117.0fps),85.6% (167.6fps),66.0% (96.4fps),54.1% (62.0fps),https://www.tomshardware.com/reviews/nvidia-geforce-rtx-3080-review
Radeon RX 7700 XT,75.3% (116.1fps),87.7% (171.6fps),63.4% (92.7fps),45.0% (51.5fps),https://www.tomshardware.com/reviews/amd-radeon-rx-7700-xt-review
Radeon RX 6800,74.4% (114.6fps),86.2% (168.7fps),61.0% (89.2fps),44.3% (50.7fps),https://www.tomshardware.com/news/the-amd-radeon-rx-6800-xt-and-rx-6800-review
GeForce RTX 3070 Ti,67.5% (104.0fps),81.6% (159.8fps),56.7% (82.8fps),41.7% (47.7fps),https://www.tomshardware.com/news/nvidia-geforce-rtx-3070-ti-review
Radeon RX 6750 XT,66.8% (102.9fps),82.6% (161.6fps),52.9% (77.2fps),37.4% (42.8fps),https://www.tomshardware.com/reviews/amd-radeon-rx-6750-xt-review
GeForce RTX 4060 Ti 16GB,65.3% (100.6fps),82.6% (161.7fps),51.8% (75.7fps),36.4% (41.6fps),https://www.tomshardware.com/reviews/nvidia-geforce-rtx-4060-ti-16gb-review
GeForce RTX 4060 Ti,65.1% (100.4fps),81.8% (160.1fps),51.7% (75.6fps),34.6% (39.6fps),https://www.tomshardware.com/reviews/nvidia-geforce-rtx-4060-ti-review
Titan RTX,64.5% (99.3fps),80.0% (156.6fps),54.4% (79.5fps),41.8% (47.8fps),"https://www.tomshardware.com/reviews/nvidia-titan-rtx-deep-learning-gaming-tensor,5971.html"
Radeon RX 6700 XT,64.3% (99.1fps),80.8% (158.1fps),50.3% (73.4fps),35.3% (40.4fps),https://www.tomshardware.com/reviews/amd-radeon-rx-6700-xt-review
GeForce RTX 3070,64.1% (98.8fps),79.1% (154.8fps),53.2% (77.7fps),38.8% (44.4fps),https://www.tomshardware.com/reviews/nvidia-geforce-rtx-3070-founders-edition-review
GeForce RTX 2080 Ti,62.5% (96.3fps),77.2% (151.0fps),51.8% (75.6fps),38.0% (43.5fps),"https://www.tomshardware.com/reviews/nvidia-geforce-rtx-2080-ti-founders-edition,5805.html"
Radeon RX 7600 XT,59.7% (91.9fps),77.3% (151.2fps),45.1% (65.9fps),32.4% (37.1fps),https://www.tomshardware.com/pc-components/gpus/amd-radeon-rx-7600-xt-review
GeForce RTX 3060 Ti,58.9% (90.7fps),75.0% (146.9fps),47.9% (70.0fps),Row 30 - Cell 5,https://www.tomshardware.com/reviews/nvidia-geforce-rtx-3060-ti-founders-edition-review
Radeon RX 6700 10GB,55.9% (86.1fps),74.4% (145.7fps),43.0% (62.8fps),28.7% (32.9fps),https://www.tomshardware.com/news/sapphire-rx-6700-10gb-299-dollars
GeForce RTX 2080 Super,55.8% (86.0fps),72.2% (141.3fps),45.2% (66.1fps),32.1% (36.7fps),"https://www.tomshardware.com/reviews/nvidia-geforce-rtx-2080-super-turing-ray-tracing,6243.html"
GeForce RTX 4060,55.1% (84.9fps),72.7% (142.3fps),41.9% (61.2fps),27.8% (31.9fps),https://www.tomshardware.com/reviews/nvidia-geforce-rtx-4060-review-asus-dual
GeForce RTX 2080,53.5% (82.5fps),69.8% (136.7fps),43.2% (63.2fps),Row 34 - Cell 5,"https://www.tomshardware.com/reviews/nvidia-geforce-rtx-2080-founders-edition,5809.html"
Radeon RX 7600,53.2% (82.0fps),72.3% (141.4fps),39.2% (57.3fps),25.4% (29.1fps),https://www.tomshardware.com/reviews/amd-radeon-rx-7600-review
Radeon RX 6650 XT,50.4% (77.7fps),70.0% (137.1fps),37.3% (54.5fps),Row 36 - Cell 5,https://www.tomshardware.com/reviews/amd-radeon-rx-6650-xt-review
GeForce RTX 2070 Super,50.3% (77.4fps),66.2% (129.6fps),40.0% (58.4fps),Row 37 - Cell 5,"https://www.tomshardware.com/reviews/nvidia-geforce-rtx-2060-super-geforce-rtx-2070-super,6207.html"
Intel Arc A770 16GB,49.9% (76.9fps),59.4% (116.4fps),41.0% (59.8fps),30.8% (35.3fps),https://www.tomshardware.com/reviews/intel-arc-a770-limited-edition-review
Intel Arc A770 8GB,48.9% (75.3fps),59.0% (115.5fps),39.3% (57.5fps),29.0% (33.2fps),No link
Radeon RX 6600 XT,48.5% (74.7fps),68.2% (133.5fps),35.7% (52.2fps),Row 40 - Cell 5,https://www.tomshardware.com/reviews/amd-radeon-rx-6600-xt-review
Radeon RX 5700 XT,47.6% (73.3fps),63.8% (124.9fps),36.3% (53.1fps),25.6% (29.3fps),"https://www.tomshardware.com/reviews/amd-radeon-rx_5700-rx_5700_xt,6216.html"
GeForce RTX 3060,46.9% (72.3fps),61.8% (121.0fps),36.9% (54.0fps),Row 42 - Cell 5,https://www.tomshardware.com/reviews/nvidia-geforce-rtx-3060-review
Intel Arc A750,45.9% (70.8fps),56.4% (110.4fps),36.7% (53.7fps),27.2% (31.1fps),https://www.tomshardware.com/reviews/intel-arc-a750-limited-edition-review
GeForce RTX 2070,45.3% (69.8fps),60.8% (119.1fps),35.5% (51.8fps),Row 44 - Cell 5,"https://www.tomshardware.com/reviews/nvidia-geforce-rtx-2070-founders-edition,5851.html"
Radeon VII,45.1% (69.5fps),58.2% (113.9fps),36.3% (53.0fps),27.5% (31.5fps),"https://www.tomshardware.com/reviews/amd-radeon-vii-vega-20-7nm,5977.html"
GeForce GTX 1080 Ti,43.1% (66.4fps),56.3% (110.2fps),34.4% (50.2fps),25.8% (29.5fps),"https://www.tomshardware.com/reviews/nvidia-geforce-gtx-1080-ti,4972.html"
GeForce RTX 2060 Super,42.5% (65.5fps),57.2% (112.0fps),33.1% (48.3fps),Row 47 - Cell 5,"https://www.tomshardware.com/reviews/nvidia-geforce-rtx-2060-super-geforce-rtx-2070-super,6207.html"
Radeon RX 6600,42.3% (65.2fps),59.3% (116.2fps),30.6% (44.8fps),Row 48 - Cell 5,https://www.tomshardware.com/reviews/amd-radeon-rx-6600-review-xfx
Intel Arc A580,42.3% (65.1fps),51.6% (101.1fps),33.4% (48.8fps),24.4% (27.9fps),https://www.tomshardware.com/reviews/intel-arc-a580-review-a-new-budget-contender
Radeon RX 5700,41.9% (64.5fps),56.6% (110.8fps),31.9% (46.7fps),Row 50 - Cell 5,"https://www.tomshardware.com/reviews/amd-radeon-rx_5700-rx_5700_xt,6216.html"
Radeon RX 5600 XT,37.5% (57.8fps),51.1% (100.0fps),28.8% (42.0fps),Row 51 - Cell 5,https://www.tomshardware.com/reviews/amd-radeon-rx_5600_xt
Radeon RX Vega 64,36.8% (56.7fps),48.2% (94.3fps),28.5% (41.6fps),20.5% (23.5fps),"https://www.tomshardware.com/reviews/amd-radeon-rx-vega-64,5173.html"
GeForce RTX 2060,36.0% (55.5fps),51.4% (100.5fps),27.5% (40.1fps),Row 53 - Cell 5,"https://www.tomshardware.com/reviews/nvidia-geforce-rtx-2060-ray-tracing-turing,5960.html"
GeForce GTX 1080,34.4% (53.0fps),45.9% (89.9fps),27.0% (39.4fps),Row 54 - Cell 5,"https://www.tomshardware.com/reviews/best-nvidia-geforce-gtx-1080-graphics-cards,4725.html"
GeForce RTX 3050,33.7% (51.9fps),45.4% (88.8fps),26.4% (38.5fps),Row 55 - Cell 5,https://www.tomshardware.com/reviews/nvidia-geforce-rtx-3050-review-evga-xc-black
GeForce GTX 1070 Ti,33.1% (51.1fps),43.8% (85.7fps),26.0% (37.9fps),Row 56 - Cell 5,"https://www.tomshardware.com/reviews/nvidia-geforce-gtx-1070-ti-8gb,5311.html"
Radeon RX Vega 56,32.8% (50.6fps),43.0% (84.2fps),25.3% (37.0fps),Row 57 - Cell 5,"https://www.tomshardware.com/reviews/radeon-rx-vega-56,5202.html"
GeForce GTX 1660 Super,30.3% (46.8fps),43.7% (85.5fps),22.8% (33.3fps),Row 58 - Cell 5,https://www.tomshardware.com/reviews/evga-nvidia-geforce-gtx_1660_super-sc-ultra
GeForce GTX 1660 Ti,30.3% (46.6fps),43.3% (84.8fps),22.8% (33.3fps),Row 59 - Cell 5,"https://www.tomshardware.com/reviews/nvidia-geforce-gtx-1660-ti-turing,6002.html"
GeForce GTX 1070,29.0% (44.7fps),38.3% (75.0fps),22.7% (33.1fps),Row 60 - Cell 5,"https://www.tomshardware.com/reviews/nvidia-geforce-gtx-1070-8gb-pascal-performance,4585.html"
GeForce GTX 1660,27.7% (42.6fps),39.7% (77.8fps),20.8% (30.3fps),Row 61 - Cell 5,"https://www.tomshardware.com/reviews/nvidia-geforce-gtx-1660-turing-tu116,6027.html"
Radeon RX 5500 XT 8GB,25.7% (39.7fps),36.8% (72.1fps),19.3% (28.2fps),Row 62 - Cell 5,https://www.tomshardware.com/reviews/asus-rog-strix-rx-5500-xt-o8g-gaming
Radeon RX 590,25.5% (39.3fps),35.0% (68.5fps),19.9% (29.0fps),Row 63 - Cell 5,"https://www.tomshardware.com/reviews/amd-radeon-rx-590,5907.html"
GeForce GTX 980 Ti,23.3% (35.9fps),32.0% (62.6fps),18.2% (26.6fps),Row 64 - Cell 5,"https://www.tomshardware.com/reviews/nvidia-geforce-gtx-980-ti,4164.html"
Radeon RX 580 8GB,22.9% (35.3fps),31.5% (61.7fps),17.8% (26.0fps),Row 65 - Cell 5,"https://www.tomshardware.com/reviews/amd-radeon-rx-580-review,5020.html"
Radeon R9 Fury X,22.9% (35.2fps),32.6% (63.8fps),Row 66 - Cell 4,Row 66 - Cell 5,"https://www.tomshardware.com/reviews/amd-radeon-r9-fury-x,4196.html"
GeForce GTX 1650 Super,22.0% (33.9fps),34.6% (67.7fps),14.5% (21.2fps),Row 67 - Cell 5,https://www.tomshardware.com/reviews/nvidia-gtx_1650-super-turing
Radeon RX 5500 XT 4GB,21.6% (33.3fps),34.1% (66.8fps),Row 68 - Cell 4,Row 68 - Cell 5,https://www.tomshardware.com/reviews/amd-radeon-rx-5500-xt-4gb
GeForce GTX 1060 6GB,20.8% (32.1fps),29.5% (57.7fps),15.8% (23.0fps),Row 69 - Cell 5,"https://www.tomshardware.com/reviews/nvidia-geforce-gtx-1060-pascal,4679.html"
Radeon RX 6500 XT,19.9% (30.6fps),33.6% (65.8fps),12.3% (18.0fps),Row 70 - Cell 5,https://www.tomshardware.com/reviews/amd-radeon-rx-6500-xt-review-xfx
Radeon R9 390,19.3% (29.8fps),26.1% (51.1fps),Row 71 - Cell 4,Row 71 - Cell 5,"https://www.tomshardware.com/reviews/sapphire-nitro-r9-390-8g-d5,4245.html"
GeForce GTX 980,18.7% (28.9fps),27.4% (53.6fps),Row 72 - Cell 4,Row 72 - Cell 5,"https://www.tomshardware.com/reviews/nvidia-geforce-gtx-980-970-maxwell,3941.html"
GeForce GTX 1650 GDDR6,18.7% (28.8fps),28.9% (56.6fps),Row 73 - Cell 4,Row 73 - Cell 5,https://www.tomshardware.com/reviews/evga-geforce-gtx-1650-gddr6
Intel Arc A380,18.4% (28.4fps),27.7% (54.3fps),13.3% (19.5fps),Row 74 - Cell 5,https://www.tomshardware.com/reviews/intel-arc-a380-review
Radeon RX 570 4GB,18.2% (28.1fps),27.4% (53.6fps),13.6% (19.9fps),Row 75 - Cell 5,"https://www.tomshardware.com/reviews/amd-radeon-rx-570-4gb,5028.html"
GeForce GTX 1650,17.5% (27.0fps),26.2% (51.3fps),Row 76 - Cell 4,Row 76 - Cell 5,"https://www.tomshardware.com/reviews/geforce-gtx-1650-turing-gpu,6096.html"
GeForce GTX 970,17.2% (26.5fps),25.0% (49.0fps),Row 77 - Cell 4,Row 77 - Cell 5,"https://www.tomshardware.com/reviews/nvidia-geforce-gtx-980-970-maxwell,3941.html"
Radeon RX 6400,15.7% (24.1fps),26.1% (51.1fps),Row 78 - Cell 4,Row 78 - Cell 5,https://www.tomshardware.com/reviews/amd-radeon-rx-6400-review-budget-in-almost-every-way
GeForce GTX 1050 Ti,12.9% (19.8fps),19.4% (38.0fps),Row 79 - Cell 4,Row 79 - Cell 5,"https://www.tomshardware.com/reviews/nvidia-geforce-gtx-1050-ti,4787.html"
GeForce GTX 1060 3GB,Row 80 - Cell 2,26.8% (52.5fps),Row 80 - Cell 4,Row 80 - Cell 5,"https://www.tomshardware.com/reviews/nvidia-geforce-gtx-1060-graphics-card-roundup,4724.html"
GeForce GTX 1630,10.9% (16.9fps),17.3% (33.8fps),Row 81 - Cell 4,Row 81 - Cell 5,https://www.tomshardware.com/reviews/nvidia-geforce-gtx-1630-review
Radeon RX 560 4GB,9.6% (14.7fps),16.2% (31.7fps),Row 82 - Cell 4,Row 82 - Cell 5,"https://www.tomshardware.com/reviews/amd-radeon-rx-560-4gb,5254.html"
GeForce GTX 1050,Row 83 - Cell 2,15.2% (29.7fps),Row 83 - Cell 4,Row 83 - Cell 5,"https://www.tomshardware.com/reviews/nvidia-geforce-gtx-1050-ti,4787.html"
Radeon RX 550 4GB,Row 84 - Cell 2,10.0% (19.5fps),Row 84 - Cell 4,Row 84 - Cell 5,"https://www.tomshardware.com/reviews/amd-radeon-rx-550-2gb,5034.html"
GeForce GT 1030,Row 85 - Cell 2,7.5% (14.6fps),Row 85 - Cell 4,Row 85 - Cell 5,"https://www.tomshardware.com/reviews/nvidia-geforce-gt-1030-2gb,5110.html"
