name,price,speed,modules,price_per_gb,color,first_word_latency,cas_latency
TEAMGROUP T-Create Classic 32 GB,,"[5, 6000]","[2, 16]",,Black,16.0,48.0
Corsair Vengeance LPX 64 GB,11999.0,"[4, 3600]","[2, 32]",1.875,Black,10.0,18.0
G.Skill Trident Z RGB 32 GB,10999.0,"[4, 3600]","[2, 16]",3.437,Black,8.889,16.0
Corsair Vengeance RGB RT 32 GB,10999.0,"[4, 3600]","[2, 16]",3.437,Black,8.889,16.0
Corsair Vengeance RGB 64 GB,31999.0,"[5, 6600]","[4, 16]",5.0,Black / Gray,9.697,32.0
G.Skill Ripjaws V 16 GB,4199.0,"[4, 3600]","[2, 8]",2.624,Black,10.0,18.0
Corsair Vengeance RGB Pro 32 GB,11499.0,"[4, 3200]","[4, 8]",3.593,White,10.0,16.0
Corsair Vengeance RGB Pro 64 GB,20499.0,"[4, 3600]","[4, 16]",3.203,Black,10.0,18.0
TEAMGROUP Elite 16 GB,3599.0,"[5, 4800]","[2, 8]",2.249,Black,16.667,40.0
G.Skill Trident Z RGB 16 GB,5699.0,"[4, 3200]","[2, 8]",3.562,Black,10.0,16.0
Corsair Vengeance LPX 16 GB,5483.0,"[4, 3600]","[2, 8]",3.427,Black / Yellow,8.889,16.0
Corsair Vengeance LPX 32 GB,7998.999999999999,"[4, 3600]","[4, 8]",2.5,Black / Yellow,10.0,18.0
TEAMGROUP T-Force Vulcan 32 GB,7998.0,"[5, 6000]","[2, 16]",2.499,Black,12.667,38.0
Corsair Vengeance LPX 16 GB,4999.0,"[4, 3000]","[2, 8]",3.124,Black / Yellow,10.0,15.0
Corsair Vengeance RGB Pro 16 GB,6998.0,"[4, 3600]","[2, 8]",4.374,White,10.0,18.0
Crucial CT2K16G48C40U5 32 GB,8098.0,"[5, 4800]","[2, 16]",2.531,Black,16.667,40.0
Corsair Vengeance RGB 32 GB,17499.0,"[5, 7200]","[2, 16]",5.468,Black,9.444,34.0
G.Skill Trident Z RGB 128 GB,29999.0,"[4, 3600]","[4, 32]",2.344,Black,10.0,18.0
Corsair Vengeance RGB 32 GB,13999.0,"[5, 6200]","[2, 16]",4.375,White,11.613,36.0
Corsair Vengeance 32 GB,9999.0,"[5, 6000]","[2, 16]",3.125,Black,12.0,36.0
Kingston FURY Beast RGB 16 GB,5999.0,"[4, 3600]","[2, 8]",3.749,Black,9.444,17.0
Corsair Dominator Platinum RGB 32 GB,13050.0,"[5, 5600]","[2, 16]",4.078,Black,12.857,36.0
Kingston FURY Beast 32 GB,9999.0,"[5, 5600]","[2, 16]",3.125,Black,12.857,36.0
Kingston ValueRAM 4 GB,999.0,"[4, 3200]","[1, 4]",2.498,Green,13.75,22.0
Silicon Power SP016GLLTU160N22 16 GB,1599.0,"[3, 1600]","[2, 8]",0.999,Green,13.75,11.0
Crucial Ballistix 16 GB,,"[4, 3200]","[2, 8]",,Black,10.0,16.0
G.Skill Ripjaws S5 32 GB,14349.0,"[5, 5600]","[2, 16]",4.484,White,10.0,28.0
TEAMGROUP T-Create Classic 32 GB,5199.0,"[4, 3200]","[2, 16]",1.625,Silver,13.75,22.0
Kingston FURY Beast 16 GB,7198.0,"[5, 6000]","[2, 8]",4.499,Black / Silver,12.0,36.0
Patriot Viper Steel 16 GB,,"[4, 3200]","[2, 8]",,Silver / Black,10.0,16.0
G.Skill Trident Z5 RGB 32 GB,11999.0,"[5, 6400]","[2, 16]",3.75,Silver / Black,10.0,32.0
TEAMGROUP T-Force Vulcan Z 16 GB,3399.0,"[4, 3200]","[2, 8]",2.124,Gray,10.0,16.0
Silicon Power XPOWER Zenith Gaming 16 GB,3197.0,"[4, 3200]","[2, 8]",1.998,Black / Silver,10.0,16.0
Corsair Vengeance 64 GB,20499.0,"[5, 6000]","[2, 32]",3.203,Gray,13.333,40.0
Crucial CT2K16G4DFRA32A 32 GB,5699.0,"[4, 3200]","[2, 16]",1.781,Green / Black,13.75,22.0
Kingston FURY Beast RGB 32 GB,8163.0,"[4, 3200]","[2, 16]",2.551,Black,10.0,16.0
Corsair Vengeance LPX 16 GB,4799.0,"[4, 3200]","[2, 8]",2.999,White,10.0,16.0
Kingston HyperX Fury 8 GB,8996.0,"[4, 2666]","[1, 8]",11.245,Black,12.003,16.0
Kingston FURY Beast 16 GB,5498.0,"[4, 3600]","[2, 8]",3.436,Black,9.444,17.0
TEAMGROUP T-Force Delta RGB 32 GB,6698.0,"[4, 3200]","[2, 16]",2.093,Black,10.0,16.0
Corsair Vengeance 32 GB,10999.0,"[5, 5600]","[2, 16]",3.437,Gray,12.857,36.0
TEAMGROUP T-Force Delta RGB 32 GB,8699.0,"[5, 5600]","[2, 16]",2.718,Black,11.429,32.0
G.Skill Aegis 16 GB,3699.0,"[4, 3000]","[2, 8]",2.312,Black / Red,10.667,16.0
TEAMGROUP T-Force Delta RGB 32 GB,26999.0,"[5, 8000]","[2, 16]",8.437,Black / Silver,9.5,38.0
Corsair Vengeance RGB Pro SL 32 GB,7998.0,"[4, 3600]","[2, 16]",2.499,Black,10.0,18.0
Corsair Vengeance RGB Pro 64 GB,14499.0,"[4, 3200]","[2, 32]",2.265,Black,10.0,16.0
ADATA XPG GAMMIX D45 16 GB,5053.0,"[4, 3200]","[2, 8]",3.158,Black,10.0,16.0
Corsair Vengeance LPX 32 GB,9999.0,"[4, 3600]","[2, 16]",3.125,Black / Yellow,8.889,16.0
Corsair Vengeance 64 GB,28999.0,"[5, 6600]","[4, 16]",4.531,Black / Gray,9.697,32.0
TEAMGROUP Elite 32 GB,6998.0,"[5, 4800]","[2, 16]",2.187,Black,16.667,40.0
G.Skill Trident Z5 Neo RGB 32 GB,11499.0,"[5, 5600]","[2, 16]",3.593,Black,10.0,28.0
Corsair Dominator Platinum RGB 32 GB,21999.0,"[5, 7600]","[2, 16]",6.875,Black,9.474,36.0
Silicon Power XPOWER Zenith RGB Gaming 32 GB,8297.0,"[5, 6000]","[2, 16]",2.593,White,13.333,40.0
TEAMGROUP T-Force Delta RGB 64 GB,17999.0,"[5, 6000]","[2, 32]",2.812,White / Silver,12.667,38.0
G.Skill Trident Z RGB 32 GB,7998.999999999999,"[4, 3600]","[2, 16]",2.5,Black,10.0,18.0
G.Skill Trident Z Neo 16 GB,7298.0,"[4, 3600]","[2, 8]",4.561,Black / Silver,8.889,16.0
Patriot Viper Black 16 GB,6199.0,"[5, 5200]","[2, 8]",3.874,Black / White,13.846,36.0
G.Skill Ripjaws V 64 GB,12999.0,"[4, 3200]","[4, 16]",2.031,Black,10.0,16.0
Corsair Vengeance LPX 32 GB,8999.0,"[4, 3600]","[2, 16]",2.812,Black / Yellow,10.0,18.0
G.Skill Ripjaws V 32 GB,10467.0,"[4, 4400]","[2, 16]",3.271,Black,8.636,19.0
G.Skill Ripjaws S5 32 GB,10899.0,"[5, 6000]","[2, 16]",3.406,Black,10.0,30.0
Silicon Power XPOWER Zenith RGB Gaming 32 GB,5899.0,"[4, 3200]","[2, 16]",1.843,Black,10.0,16.0
G.Skill Trident Z5 RGB 32 GB,11499.0,"[5, 6000]","[2, 16]",3.593,Black,10.0,30.0
G.Skill Ripjaws S5 64 GB,21799.0,"[5, 6400]","[2, 32]",3.406,Black,10.0,32.0
Kingston FURY Beast RGB 64 GB,24999.0,"[5, 6000]","[2, 32]",3.906,Black,12.0,36.0
Timetec PINNACLE Konduit 32 GB,5399.0,"[4, 3200]","[2, 16]",1.687,White,10.0,16.0
G.Skill Trident Z5 RGB 64 GB,21799.0,"[5, 6000]","[2, 32]",3.406,White / Black,10.0,30.0
Corsair Vengeance RGB Pro SL 64 GB,19999.0,"[4, 3600]","[4, 16]",3.125,White,10.0,18.0
G.Skill Ripjaws 8 GB,3023.0,"[3, 1600]","[2, 4]",3.779,Black / Red,11.25,9.0
TEAMGROUP T-Create Expert 16 GB,3099.0,"[4, 3200]","[2, 8]",1.937,Gray,10.0,16.0
Corsair Vengeance 64 GB,18999.0,"[5, 6000]","[2, 32]",2.969,Gray,13.333,40.0
G.Skill Flare X5 32 GB,9799.0,"[5, 5600]","[2, 16]",3.062,Black,10.714,30.0
Corsair Vengeance 32 GB,9799.0,"[5, 4800]","[2, 16]",3.062,Black,16.667,40.0
G.Skill Ripjaws S5 32 GB,10499.0,"[5, 6000]","[2, 16]",3.281,Black,10.667,32.0
G.Skill Trident Z5 Neo 32 GB,11299.0,"[5, 5600]","[2, 16]",3.531,Black,10.0,28.0
G.Skill Trident Z5 RGB 64 GB,20999.0,"[5, 5600]","[2, 32]",3.281,White / Black,10.0,28.0
Corsair Vengeance RGB RT 32 GB,14999.0,"[4, 4600]","[2, 16]",4.687,Black,7.826,18.0
Crucial Pro 32 GB,9499.0,"[5, 5600]","[2, 16]",2.968,Black,16.429,46.0
Kingston FURY Renegade 16 GB,5895.0,"[4, 3600]","[2, 8]",3.684,Black / Silver,8.889,16.0
ADATA XPG LANCER RGB 32 GB,10999.0,"[5, 6000]","[2, 16]",3.437,Black,13.333,40.0
Kingston Server Premier 64 GB,17402.0,"[4, 3200]","[1, 64]",2.719,,13.75,22.0
Kingston FURY Beast RGB 16 GB,9356.0,"[5, 5200]","[2, 8]",5.848,Black,15.385,40.0
G.Skill Trident Z5 RGB 32 GB,12999.0,"[5, 6000]","[2, 16]",4.062,White / Black,10.0,30.0
Corsair Vengeance RGB 64 GB,24499.0,"[5, 5600]","[4, 16]",3.828,Black,12.857,36.0
Patriot Viper Steel 32 GB,6299.0,"[4, 3200]","[2, 16]",1.968,Silver / Black,10.0,16.0
Kingston FURY Beast 16 GB,9196.0,"[5, 5600]","[2, 8]",5.747,Black / Silver,12.857,36.0
G.Skill Trident Z5 RGB 64 GB,21799.0,"[5, 6000]","[2, 32]",3.406,Black,10.0,30.0
G.Skill Trident Z RGB 96 GB,40999.0,"[5, 6400]","[2, 48]",4.271,Black,10.0,32.0
ADATA XPG GAMMIX D20 16 GB,3699.0,"[4, 3200]","[2, 8]",2.312,Black / Silver,10.0,16.0
Samsung M378A1K43CB2-CRC 8 GB,1818.0,"[4, 2400]","[1, 8]",2.272,Green,14.167,17.0
Corsair Vengeance RGB Pro SL 16 GB,5999.0,"[4, 3200]","[2, 8]",3.749,White / Black,10.0,16.0
PNY XLR8 16 GB,3399.0,"[4, 3200]","[2, 8]",2.124,Black / Red,10.0,16.0
TEAMGROUP T-Force Delta RGB 32 GB,9999.0,"[5, 6400]","[2, 16]",3.125,White,12.5,40.0
Kingston FURY Beast 64 GB,21999.0,"[5, 5600]","[2, 32]",3.437,Black,14.286,40.0
OLOy MD4U083216BJDA 16 GB,,"[4, 3200]","[2, 8]",,Black,10.0,16.0
Corsair Vengeance RGB Pro 32 GB,7998.0,"[4, 3600]","[2, 16]",2.499,Black,10.0,18.0
Corsair Vengeance RGB RS 32 GB,8999.0,"[4, 3600]","[2, 16]",2.812,Black / Gray,10.0,18.0
Crucial Pro 32 GB,6870.0,"[4, 3200]","[2, 16]",2.147,Black,13.75,22.0
Patriot Viper 3 16 GB,3198.0,"[3, 1866]","[2, 8]",1.999,Black / Silver,10.718,10.0
Corsair Dominator Platinum RGB 32 GB,11999.0,"[4, 3200]","[2, 16]",3.75,Black,10.0,16.0
Corsair Vengeance RGB 64 GB,26499.0,"[5, 6600]","[2, 32]",4.14,Black / Gray,9.697,32.0
Corsair Vengeance RGB Pro 256 GB,158873.0,"[4, 3000]","[8, 32]",6.206,Black,10.667,16.0
Kingston FURY Beast RGB 32 GB,13841.0,"[5, 5600]","[2, 16]",4.325,Black,12.857,36.0
G.Skill Flare X5 16 GB,,"[5, 5600]","[1, 16]",,Black,12.857,36.0
Corsair Vengeance RGB 32 GB,11499.0,"[5, 6000]","[2, 16]",3.593,White,13.333,40.0
G.Skill Trident Z RGB 32 GB,11499.0,"[4, 3200]","[4, 8]",3.593,Black,10.0,16.0
TEAMGROUP T-Create Expert 16 GB,3599.0,"[4, 3600]","[2, 8]",2.249,Gray,10.0,18.0
Klevv BOLT X 16 GB,3399.0,"[4, 3600]","[2, 8]",2.124,Black,10.0,18.0
Kingston HyperX Fury 16 GB,,"[4, 2666]","[2, 8]",,Black,12.003,16.0
G.Skill Trident Z RGB 32 GB,12825.0,"[4, 4400]","[2, 16]",4.008,Black,8.636,19.0
G.Skill Trident Z Neo 64 GB,26637.0,"[4, 3600]","[4, 16]",4.162,Black / Silver,8.889,16.0
Corsair Vengeance LPX 16 GB,3999.0,"[4, 3000]","[1, 16]",2.499,Black,10.667,16.0
Samsung M378B5173DB0-CK0 4 GB,1013.0000000000001,"[3, 1600]","[1, 4]",2.533,Green,13.75,11.0
Corsair Vengeance 32 GB,10999.0,"[5, 5600]","[2, 16]",3.437,White,12.857,36.0
Kingston Fury Renegade RGB 16 GB,5999.0,"[4, 3600]","[2, 8]",3.749,Black,8.889,16.0
Kingston FURY Beast 32 GB,8952.0,"[4, 3600]","[2, 16]",2.797,Black,10.0,18.0
Timetec PINNACLE Konduit 16 GB,3599.0,"[4, 3200]","[2, 8]",2.249,White,10.0,16.0
